Cemetery,End Date,Proportion with no Grave Goods,Average Number of Grave Goods,Dress Accessories,Jewellery,Personal Accessories,Fittings,Weapons,Cosmetics,Vessels,Tools,Amulets,Animal Remains,Coins,Region
Eschborn,565,29.17,3.4,45.8,33.3,33.3,18.75,8.9,18.75,47.9,14.6,0,0,2.1,Lower Rhine
Beckum,620,7.94,3.62,34.9,36.5,49.2,38.1,41.3,14.3,39.7,15.9,0,3.2,3.2,Lower Rhine
Lamersdorf,620,29.89,1.95,20.7,13.8,27.6,12.6,13.8,8,50.6,10.3,0,2.3,1.1,Lower Rhine
Eick,680,20.6,3.54,48.5,19.9,36,39,28.7,8.8,59.6,7.3,0,3.7,5.1,Lower Rhine
Koln-Mungersdorf,680,3.2,5.4,75.8,43.2,57.9,51.6,26.3,30.5,55.8,13.7,0,3.2,11.6,Lower Rhine
Rubenach,700,50.6,1.48,22.15,10.76,21.2,15.5,8.54,8.86,19.3,3.8,0.32,0.32,1.9,Lower Rhine
Krefeld-Gellep,710,61.78,1.25,16.7,8.9,12.2,13.7,13.9,2.6,19.3,4.5,0,0,3.5,Lower Rhine
Rodingen,710,27.2,1.83,23.4,22.6,19.6,10.7,21.8,3,41.4,1,0,0.5,1.4,Lower Rhine
Koln-St. Severin,750,57.8,1.99,21.6,11.2,15.5,13.8,6.9,8.6,19.8,6,0.9,0,10.3,Lower Rhine
St Gereon,750,56.76,0.86,5.4,5.4,5.4,24.3,2.7,0,18.9,0,0,8.1,5.4,Lower Rhine
Koln-Junkersdorf,750,26.25,3.46,48.8,23.7,41.3,17.5,15,16.3,45,10,0,0,10,Lower Rhine
Wijchen,640,31.4,1.81,39.5,20.6,21.6,25.7,20.6,1,15.2,5.4,0,0.3,2,Low Countries
Wageningen,675,64.42,0.87,13.5,8.6,11,17.2,6.7,1.2,10.4,1.2,0.6,0.6,0.6,Low Countries
Obbicht-Oude Molen,680,13.73,2.76,31.4,13.7,25.5,35.3,31.4,2,56.9,2,0,2,0,Low Countries
Stein-Groote Bongerd,680,27.4,1.84,21.9,13.7,13.7,30.1,16.4,1.4,63,1.7,0,0,0,Low Countries
Boorsbeek,700,38.09,2.24,35.7,38.1,28.6,38.1,16.7,2.4,21.4,11.9,0,0,2.4,Low Countries
Folx-les-Caves,700,29.63,4,44.4,14.8,29.6,48.1,14.8,13.3,51.9,18.5,0,0,0,Low Countries
Engelsmanhoven,700,23.3,2.37,20.9,16.3,25.6,34.9,39.5,0,39.5,2.3,0,0,2.3,Low Countries
Rosmeer,700,35.59,2.25,38.1,16.9,27.1,38.9,22.9,1.7,39,0,0,0,2.54,Low Countries
Hollogne-aux-Pierres,700,0,4.27,66.7,26.7,46.7,53.3,53.3,33.3,60,6.7,0,0,0,Low Countries
Hamoir,700,33.3,2.45,51.6,11.9,34.1,38.9,28.2,2,34.5,1.2,0.8,0,0,Low Countries
Saint Marcel,710,5.88,2.35,70.6,23.5,41.2,29.4,17.6,0,35.3,0,0,0,0,Low Countries
Lent,720,71.07,0.72,13.2,6.6,9.9,16.5,5.8,0.8,4.1,1.7,0,1.7,0.8,Low Countries
St. Servatius (Merovingian),725,35.9,1.96,26.2,18.5,16.9,27.2,17.4,6.2,37.4,1.5,1,0.5,2.6,Low Countries
Bergeijk-Fazantlaan,740,14.17,2.36,38.3,32.5,29.2,51.7,14.2,0.8,31.7,2.5,0,0,1.7,Low Countries
Putten,750,36.99,1.22,21.9,19.2,43.8,6.8,4.1,0,11,4.1,1.4,0,0,Low Countries
Posterholt-Achterste Voorst,750,15.79,2.74,46.1,35.5,31.6,67.1,13.2,1.3,26.3,7.9,0,2.6,10.5,Low Countries
Sittard-Kemperkoul,750,25,2.33,26.6,26.6,13.7,28.1,23.4,7.8,39.1,7.8,0,0,3.1,Low Countries
Buchten,780,96.43,0.04,0,0,0,3.4,0,0,0,0,0,0,0,Low Countries
Rhenen,,36.1,2.17,30.8,21.7,23.4,26.3,19.9,3.6,31.7,4.4,0.3,0,3.2,Low Countries
St Servatius (Carolingian),890,68.85,0.46,0,1.6,0,13.1,3.3,0,24.6,3.3,0,0,0,Low Countries
Fellbach-Schmiden,600,2.7,4.35,73,27,51.4,45.9,32.4,40.5,29.7,8.1,2.7,13.5,0,Northern Alamannia
Pleidelsheim,670,12.89,5.06,63.9,32.5,47.4,38.1,32.5,36.6,33.5,18,2.1,2.1,3.1,Northern Alamannia
Klepsau,680,7.6,7,71.2,45.5,69.7,59.1,42.4,68.2,56.1,25.8,3,6.1,7.6,Northern Alamannia
Bad Mingolsheim,680,15,4.15,43,48,30,24,33,55,55,10,4,37,3,Northern Alamannia
Schretzheim,680,8,3.29,68,38,40,15,32,11,29,9,3,8,4,Northern Alamannia
Weissenburg,680,5.95,3.5,51.2,29.8,31,45.2,20.2,61.9,46.4,2.4,1.2,33.3,0,Northern Alamannia
Neresheim,700,35.09,2.14,56.1,22.1,26.3,19.3,12.3,3.5,8.8,5.3,1.8,3.5,1.8,Northern Alamannia
Eichstetten,700,19.41,3.58,62.4,24.1,41.2,27.6,31.2,20.6,9.4,10,1.2,6.5,4.1,Northern Alamannia
Kosingen,700,0,4,70,50,45,35,25,15,40,15,0,5,0,Northern Alamannia
Hockenheim,700,11.1,4.11,59.3,40.8,40.8,48.1,33.3,51.9,33.3,11.1,3.7,3.7,0,Northern Alamannia
Mindelheim,700,27.4,2.17,49.3,19.9,32.2,33.6,24.7,4.1,4.8,2.7,0.7,3.4,1.4,Northern Alamannia
